"sF","treid","slice","X","Y","Z"
"V400","s01.asc",2.1,0.3276,0.507820000000001,2.0542
"V400","s01.asc",2.2,0.133280000000003,0.331189999999999,2.1623
"V400","s01.asc",2.2,0.482530000000001,0.335889999999999,2.1808
"V400","s01.asc",2.2,0.325110000000002,0.170909999999999,2.2404
"V400","s01.asc",2.2,0.287470000000003,0.50708,2.2232
"V400","s01.asc",2.3,0.134600000000002,0.343500000000001,2.2627
"V400","s01.asc",2.3,0.483890000000002,0.341749999999999,2.3488
"V400","s01.asc",2.3,0.32253,0.1706,2.2861
"V400","s01.asc",2.3,0.326520000000002,0.50511,2.2565
"V400","s01.asc",2.4,0.134740000000001,0.34544,2.3761
"V400","s01.asc",2.4,0.487020000000001,0.356030000000001,2.4261
"V400","s01.asc",2.4,0.324150000000003,0.17118,2.3618
"V400","s01.asc",2.4,0.322520000000001,0.50386,2.3712
"V400","s01.asc",2.5,0.136150000000001,0.34784,2.4523
"V400","s01.asc",2.5,0.487000000000002,0.35084,2.5171
"V400","s01.asc",2.5,0.32433,0.16999,2.5142
"V400","s01.asc",2.5,0.304920000000003,0.50263,2.4908
"V400","s01.asc",2.6,0.136420000000001,0.344749999999999,2.6043
"V400","s01.asc",2.6,0.4864,0.34581,2.6033
"V400","s01.asc",2.6,0.325660000000003,0.169919999999999,2.6216
"V400","s01.asc",2.6,0.306710000000002,0.50347,2.5581
"V400","s01.asc",2.7,0.13447,0.344479999999999,2.6997
"V400","s01.asc",2.7,0.48537,0.34112,2.6557
"V400","s01.asc",2.7,0.319390000000002,0.17056,2.6846
"V400","s01.asc",2.7,0.303130000000003,0.50075,2.6736
"V400","s01.asc",2.8,0.135000000000002,0.346719999999999,2.8106
"V400","s01.asc",2.8,0.484670000000001,0.344849999999999,2.7585
"V400","s01.asc",2.8,0.319010000000002,0.170669999999999,2.8053
"V400","s01.asc",2.8,0.304290000000002,0.499689999999999,2.7591
"V400","s01.asc",2.9,0.134410000000003,0.33295,2.8794
"V400","s01.asc",2.9,0.483050000000002,0.343539999999999,2.9458
"V400","s01.asc",2.9,0.319860000000002,0.17074,2.915
"V400","s01.asc",2.9,0.319990000000001,0.49751,2.878
"V400","s01.asc",3,0.13139,0.340260000000001,3.003
"V400","s01.asc",3,0.48169,0.339879999999999,2.9642
"V400","s01.asc",3,0.2576,0.16643,3.0075
"V400","s01.asc",3,0.299850000000003,0.4969,2.9535
"V400","s01.asc",3.1,0.129440000000002,0.34071,3.1396
"V400","s01.asc",3.1,0.478270000000002,0.328580000000001,3.055
"V400","s01.asc",3.1,0.324310000000001,0.16958,3.1363
"V400","s01.asc",3.1,0.29513,0.49929,3.1136
"V400","s01.asc",3.2,0.126230000000003,0.33892,3.1977
"V400","s01.asc",3.2,0.4756,0.327259999999999,3.1799
"V400","s01.asc",3.2,0.32686,0.167920000000001,3.1514
"V400","s01.asc",3.2,0.30179,0.497489999999999,3.1594
"V400","s01.asc",3.3,0.12688,0.334989999999999,3.2961
"V400","s01.asc",3.3,0.47353,0.31964,3.2536
"V400","s01.asc",3.3,0.293000000000003,0.16841,3.3389
"V400","s01.asc",3.3,0.306750000000001,0.49629,3.2771
"V400","s01.asc",3.4,0.124130000000001,0.33484,3.4349
"V400","s01.asc",3.4,0.470170000000003,0.346170000000001,3.3914
"V400","s01.asc",3.4,0.294410000000003,0.16718,3.3547
"V400","s01.asc",3.4,0.301300000000001,0.495760000000001,3.4091
"V400","s01.asc",3.5,0.11842,0.331580000000001,3.5333
"V400","s01.asc",3.5,0.468540000000001,0.34882,3.4817
"V400","s01.asc",3.5,0.32217,0.17008,3.5082
"V400","s01.asc",3.5,0.301730000000003,0.494389999999999,3.4635
"V400","s01.asc",3.6,0.120940000000001,0.32109,3.5526
"V400","s01.asc",3.6,0.467380000000002,0.34291,3.5568
