"tesi","length_toppo","treid","slice","diam_btw_rows","diam_wti_rows","xcentro","ycentro"
"V400",0.1,"s01",0.1,0.417428325123153,0.388494666666667,0.305572733990149,0.426720666666667
"V400",0.1,"s01",0.2,0.403314722222223,0.376813058823529,0.30744263888889,0.425199470588235
"V400",0.1,"s01",0.3,0.397428343434344,0.369790483870968,0.309921282828284,0.421340241935484
"V400",0.1,"s01",0.4,0.387903484210527,0.366629778325123,0.312603057894738,0.41736131773399
"V400",0.1,"s01",0.5,0.383488458536586,0.36213104978355,0.311690570731709,0.411503403679654
"V400",0.1,"s01",0.6,0.382262545731707,0.360484516129032,0.310438102134148,0.405908387096774
"V400",0.1,"s01",0.7,0.379066746031746,0.357977274749722,0.310222182539684,0.399115878754171
"V400",0.1,"s01",0.8,0.375001155705997,0.355941641366224,0.310045805125727,0.390878885199241
"V400",0.1,"s01",0.9,0.37087491211841,0.354057561403509,0.310296586493988,0.384219114035088
"V400",0.1,"s01",1,0.367582545454546,0.35102650626236,0.309167636363638,0.377794063941991
"V400",0.1,"s01",1.1,0.364759260797342,0.349986538461538,0.308103583887045,0.372606730769231
"V400",0.1,"s01",1.2,0.363320628626693,0.347422557932264,0.306907132495166,0.368445690730838
"V400",0.1,"s01",1.3,0.359228196114709,0.343327172619048,0.305768880666051,0.364520461309524
"V400",0.1,"s01",1.4,0.356210928030303,0.342141349206349,0.305218172348486,0.361197896825397
"V400",0.1,"s01",1.5,0.353813634751773,0.340515304878049,0.304132349290781,0.357890152439024
"V400",0.1,"s01",1.6,0.352499534883721,0.33941794246404,0.303311162790699,0.354486150719199
"V400",0.1,"s01",1.7,0.352959243697479,0.337445404761905,0.304353907563027,0.350615797619047
"V400",0.1,"s01",1.8,0.351460743243243,0.335685344827586,0.30435712837838,0.346602327586207
"V400",0.1,"s01",1.9,0.345542222222222,0.334887511312217,0.302541111111112,0.343266832579185
"V400",0.1,"s01",2,0.349075725108225,0.334113598790322,0.305836910173162,0.341008361895161
"V400",0.1,"s01",2.1,0.348057674418605,0.33256678471575,0.306938604651164,0.33961201304753
"V400",0.1,"s01",2.2,0.34529629245283,0.330660933014354,0.307808646226417,0.338611375598086
"V400",0.1,"s01",2.3,0.34538074829932,0.330868121863799,0.30923799319728,0.338224383512544
"V400",0.1,"s01",2.4,0.346091868823001,0.329578004201681,0.310697839173407,0.337658644957983
"V400",0.1,"s01",2.5,0.346170850340136,0.329194368421053,0.311715187074831,0.337050184210526
"V400",0.1,"s01",2.6,0.34613558380903,0.328318923444976,0.311680718733785,0.33653764354067
"V400",0.1,"s01",2.7,0.346008766430739,0.326443185483871,0.310589964610719,0.335780342741935
"V400",0.1,"s01",2.8,0.344471683277962,0.324258433497537,0.309783460686602,0.335003354679803
"V400",0.1,"s01",2.9,0.343830178571429,0.321689788359788,0.308456994047621,0.33431082010582
"V400",0.1,"s01",3,0.343879970238096,0.319599545454545,0.306346889880954,0.336005227272727
"V400",0.1,"s01",3.1,0.342591916592724,0.324093610389611,0.304085346051466,0.334278623376623
"V400",0.1,"s01",3.2,0.341953385167464,0.323931294642857,0.301043534688997,0.333857209821429
"V400",0.1,"s01",3.3,0.340835320366132,0.323370988505747,0.299065818077805,0.33356416091954
"V400",0.1,"s01",3.4,0.340291277777777,0.322354285714286,0.29690613888889,0.332787142857143
"V400",0.1,"s01",3.5,0.340974386363637,0.319267015250545,0.29491894318182,0.332879433551198
"V400",0.1,"s01",3.6,0.340485421245421,0.319622447089947,0.293986813186815,0.331312705026455
"V400",0.1,"s01",3.7,0.336949920589903,0.31982997235023,0.293703332387976,0.329397271889401
"V400",0.1,"s01",3.8,0.340523600543478,0.319004425,0.290792112771741,0.3247665875
"V400",0.1,"s01",3.9,0.340430512820513,0.324581435185185,0.289115256410258,0.319425532407407
"V400",0.1,"s01",4,0.339081276276276,0.322340478991597,0.286843415915917,0.313546525210084
"V400",0.1,"s01",4.1,0.338121051051051,0.322922536764706,0.285128363363365,0.307298143382353
"V400",0.1,"s01",4.2,0.334411831831832,0.322702658823529,0.281851861861863,0.301835729411765
"V400",0.1,"s01",4.3,0.332419813384814,0.323950840517241,0.279227474259976,0.294616454741379
"V400",0.1,"s01",4.4,0.332311944444444,0.321303076923077,0.276162361111113,0.290161538461538
"V400",0.1,"s01",4.5,0.331937021276596,0.320111830238726,0.272688510638299,0.286198222811671
"V400",0.1,"s01",4.6,0.333525792682927,0.318791072261072,0.269855396341465,0.280864766899767
"V400",0.1,"s01",4.7,0.332985360531309,0.318596153846154,0.266755260910817,0.275608076923077
"V400",0.1,"s01",4.8,0.334766666666667,0.318305295031056,0.265174166666668,0.268813004658385
"V400",0.1,"s01",4.9,0.335035277777778,0.319601130952381,0.26427513888889,0.263445148809524
"V400",0.1,"s01",5,0.336615645833333,0.318615108695652,0.265012489583335,0.255424945652174
"V400",0.1,"s01",5.1,0.33315696969697,0.32022563973064,0.266258181818183,0.247922365319865
"V400",0.1,"s01",5.2,0.332182035984849,0.320157866666667,0.268553830492425,0.242554266666667
"V400",0.1,"s01",5.3,0.331438805147059,0.318123043478261,0.267919715073531,0.23858152173913
"V400",0.1,"s01",5.4,0.326573333333333,0.316383076923077,0.267469090909092,0.236458846153846
"V400",0.1,"s01",5.5,0.323674823232323,0.312321915151515,0.265669532828284,0.233650557575757
"V400",0.1,"s01",5.6,0.322196666666667,0.311699829059829,0.262661666666668,0.22984452991453
"V400",0.1,"s01",5.7,0.321379933712121,0.308934295652174,0.257487845643941,0.225428452173913
"V400",0.1,"s01",5.8,0.320533965844403,0.306023333333333,0.250545370018977,0.222375
"V400",0.1,"s01",5.9,0.321205505747126,0.315656666666667,0.243577580459772,0.210328333333333
"V400",0.1,"s01",6,0.322426934065934,0.3116306,0.234995390109892,0.2037657
"V400",0.1,"s01",6.1,0.325594,0.307658260869565,0.229017000000001,0.198229130434783
"V400",0.1,"s01",6.2,0.3177108,0.309858564814815,0.220755400000001,0.194121134259259
"V400",0.1,"s01",6.3,0.319972,0.306269184210526,0.216972000000001,0.183199092105263
"V400",0.1,"s01",6.4,0.318705971786834,0.304641387559809,0.211037468652039,0.173186148325359
"V400",0.1,"s01",6.5,0.3151149054505,0.300639166666666,0.202736418242493,0.16586625
"V400",0.1,"s01",6.6,0.314687090301003,0.301437893772894,0.198358762541807,0.160669899267399
"V400",0.1,"s01",6.7,0.313580450928382,0.299528190476191,0.1946125331565,0.159597904761905
"V400",0.1,"s01",6.8,0.310488428571428,0.297890208333333,0.18968492857143,0.160878229166667
"V400",0.1,"s01",6.9,0.315007238095238,0.298872874396135,0.188165047619049,0.162029214975845
"V400",0.1,"s01",7,0.31314199074074,0.301011004784689,0.182876412037038,0.163941866028708
"V400",0.1,"s02",0.1,0.4321984,0.397512948717948,0.755324200000002,0.584703141025642
"V400",0.1,"s02",0.2,0.41216707936508,0.387254057315233,0.758717253968256,0.578343951734541
"V400",0.1,"s02",0.3,0.406056744704571,0.378596111111111,0.758491192865108,0.57050138888889
"V400",0.1,"s02",0.4,0.397223075462743,0.374549595238095,0.7568235785477,0.562064130952382
"V400",0.1,"s02",0.5,0.39420917405765,0.377112727272727,0.756863367516631,0.552758030303031
"V400",0.1,"s02",0.6,0.388525586956522,0.36860053964024,0.756346706521741,0.547176059293805
"V400",0.1,"s02",0.7,0.383379339839265,0.365291448275862,0.75404928530425,0.538192724137932
"V400",0.1,"s02",0.8,0.381587902735562,0.363372368591824,0.753440334346506,0.530250532122
"V400",0.1,"s02",0.9,0.378955942028985,0.361576919504644,0.750420362318842,0.521234775541797
"V400",0.1,"s02",1,0.376394537719796,0.359017538461538,0.747020292115713,0.51338276923077
"V400",0.1,"s02",1.1,0.372553022222222,0.358133448067633,0.744363622222224,0.505250637077296
"V400",0.1,"s02",1.2,0.369058773584906,0.357156666666667,0.742185613207549,0.496685952380953
"V400",0.1,"s02",1.3,0.363010380952381,0.354972575452717,0.742226142857145,0.488743430583502
"V400",0.1,"s02",1.4,0.36500025,0.354744857142857,0.738316125000002,0.479554428571429
"V400",0.1,"s02",1.5,0.36363472934473,0.354621853146853,0.735149672364674,0.46929361888112
"V400",0.1,"s02",1.6,0.362067208538588,0.354947277777778,0.733107889983581,0.458045861111112
"V400",0.1,"s02",1.7,0.360223158730159,0.354744411764706,0.731002134920637,0.445148676470589
"V400",0.1,"s02",1.8,0.357683833333333,0.352567695652174,0.728088583333335,0.433975152173914
"V400",0.1,"s02",1.9,0.354474615384615,0.352054311594203,0.726002692307694,0.420756322463769
"V400",0.1,"s02",2,0.354933824786325,0.350037328671329,0.722526143162395,0.407815027972029
"V400",0.1,"s02",2.1,0.35333850877193,0.34827821978022,0.7193350877193,0.395921967032968
"V400",0.1,"s02",2.2,0.352214746376811,0.347227,0.716619873188408,0.384056833333334
"V400",0.1,"s02",2.3,0.349377927272727,0.344144438470729,0.713926236363638,0.373664071087217
"V400",0.1,"s02",2.4,0.34904775731311,0.342907727272728,0.710765417118095,0.364062500000001
"V400",0.1,"s02",2.5,0.348874225352113,0.342569507389162,0.707017112676058,0.355249039408868
"V400",0.1,"s02",2.6,0.34682278280543,0.342905578595318,0.70385831447964,0.345598441471573
"V400",0.1,"s02",2.7,0.346034723502304,0.342238209677419,0.699140218894011,0.337714604838711
"V400",0.1,"s02",2.8,0.345290523809524,0.342684414035088,0.693147404761906,0.330843407017545
"V400",0.1,"s02",2.9,0.348930714285714,0.340076666666666,0.687230357142859,0.320741666666667
"V400",0.1,"s02",3,0.347869924242425,0.339454503496504,0.68100412878788,0.311358020979022
"V400",0.1,"s02",3.1,0.345979761904762,0.338983947540984,0.672158452380954,0.302429173770492
