"sF","treid","slice","X","Y","Z"
"V500","s02.asc",4.5,0.395509999999998,0.217230000000001,4.2894
"V500","s02.asc",4.5,0.186149999999998,0.0375000000000014,4.72651
"V500","s02.asc",4.5,0.236509999999999,0.40277,4.26521
"V500","s02.asc",5,0.00483999999999796,0.196370000000002,4.99131
"V500","s02.asc",5,0.36928,0.22034,4.7516
"V500","s02.asc",5,0.15128,0.01342,5.21068
"V500","s02.asc",5,0.203319999999998,0.382840000000002,4.75344
"V500","s02.asc",5.5,0,0.174119999999998,5.34422
"V500","s02.asc",5.5,0.358249999999998,0.182569999999998,5.50106
"V500","s02.asc",5.5,0.163509999999999,0,5.54346
"V500","s02.asc",5.5,0.168869999999998,0.35877,5.2592
"V500","s02.asc",6,NA,NA,NA
"V500","s02.asc",6,NA,NA,NA
"V500","s02.asc",6,NA,NA,NA
"V500","s02.asc",6,NA,NA,NA
"V500","s02.asc",6.5,NA,NA,NA
"V500","s02.asc",6.5,NA,NA,NA
"V500","s02.asc",6.5,NA,NA,NA
"V500","s02.asc",6.5,NA,NA,NA
"V500","s02.asc",7,NA,NA,NA
"V500","s02.asc",7,NA,NA,NA
"V500","s02.asc",7,NA,NA,NA
"V500","s02.asc",7,NA,NA,NA
"V500","s03.asc",0.5,0.0474899999999998,0.637420000000002,0.261039999999999
"V500","s03.asc",0.5,0.463850000000001,0.658920000000002,0.25976
"V500","s03.asc",0.5,0.275559999999999,0.434040000000003,0.74283
"V500","s03.asc",0.5,0.277740000000001,0.853430000000003,0.264559999999999
"V500","s03.asc",1,0.0643999999999991,0.606760000000001,0.77942
"V500","s03.asc",1,0.464410000000001,0.583360000000003,1.24167
"V500","s03.asc",1,0.285509999999999,0.389850000000003,1.24174
"V500","s03.asc",1,0.269380000000002,0.808850000000003,0.75027
"V500","s03.asc",1.5,0.0856600000000007,0.577280000000002,1.26257
"V500","s03.asc",1.5,0.47184,0.524120000000003,1.72443
"V500","s03.asc",1.5,0.287389999999998,0.338240000000003,1.74928
"V500","s03.asc",1.5,0.294620000000002,0.752220000000001,1.25219
"V500","s03.asc",2,0.103370000000002,0.502470000000002,1.78255
"V500","s03.asc",2,0.474080000000001,0.497140000000002,2.01924
"V500","s03.asc",2,0.290520000000001,0.286660000000001,2.24164
"V500","s03.asc",2,0.291,0.691380000000002,1.75394
"V500","s03.asc",2.5,0.100169999999999,0.386580000000002,2.37187
"V500","s03.asc",2.5,0.47062,0.472070000000002,2.26807
"V500","s03.asc",2.5,0.264810000000001,0.23611,2.74082
"V500","s03.asc",2.5,0.274640000000002,0.63269,2.25814
"V500","s03.asc",3,0.0779899999999998,0.365200000000002,3.07198
"V500","s03.asc",3,0.45589,0.4084,2.79338
"V500","s03.asc",3,0.257909999999999,0.187650000000001,3.24882
"V500","s03.asc",3,0.288810000000002,0.577190000000002,2.75563
"V500","s03.asc",3.5,0.0681599999999989,0.298620000000003,3.73109
"V500","s03.asc",3.5,0.435210000000001,0.35688,3.26788
"V500","s03.asc",3.5,0.235330000000001,0.136150000000001,3.71334
"V500","s03.asc",3.5,0.251370000000001,0.526470000000003,3.25329
"V500","s03.asc",4,0.0429299999999984,0.2437,4.23524
"V500","s03.asc",4,0.411799999999999,0.298550000000002,3.75554
"V500","s03.asc",4,0.222670000000001,0.0902300000000018,4.21425
"V500","s03.asc",4,0.244019999999999,0.469370000000001,3.76324
"V500","s03.asc",4.5,0.02881,0.227070000000001,4.74342
"V500","s03.asc",4.5,0.391089999999998,0.250510000000002,4.25317
"V500","s03.asc",4.5,0.19387,0.0569300000000013,4.73362
"V500","s03.asc",4.5,0.236969999999999,0.416990000000002,4.25354
"V500","s03.asc",5,0.000309999999998922,0.239920000000001,5.15997
"V500","s03.asc",5,0.372250000000001,0.2301,4.76492
"V500","s03.asc",5,0.156310000000001,0.0282700000000027,5.21247
"V500","s03.asc",5,0.189160000000001,0.386690000000002,4.75314
"V500","s03.asc",5.5,0,0.156890000000001,5.52636
"V500","s03.asc",5.5,0.352679999999999,0.198340000000002,5.26864
"V500","s03.asc",5.5,0.19323,0,5.53779
"V500","s03.asc",5.5,0.189409999999999,0.3504,5.27929
"V500","s03.asc",6,NA,NA,NA
"V500","s03.asc",6,NA,NA,NA
"V500","s03.asc",6,NA,NA,NA
"V500","s03.asc",6,NA,NA,NA
"V500","s03.asc",6.5,NA,NA,NA
"V500","s03.asc",6.5,NA,NA,NA
